Accession	Gene_name	Organism	Function	Subcellular_location	Length
A0A452FXM5	VDAC1	Capra hircus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A452QQM5	VDAC1	Ursus americanus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A498LEC3	NA	Labeo rohita	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	591
A0A4W2HJQ5	VDAC1	Bos indicus x Bos taurus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A4X1SN99	SAMD8	Sus scrofa	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Membrane	629
A0A4X1UX38	VDAC1	Sus scrofa	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	302
A0A5S6HVC8	VDAC1	Sus scrofa	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	302
A0A663EQT4	VDAC1	Aquila chrysaetos chrysaetos	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A670J3J9	VDAC1	Podarcis muralis	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	320
A0A670YF14	VDAC1	Pseudonaja textilis	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	403
A0A672U2U4	VDAC1	Strigops habroptila	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A674GTW5	VDAC1	Taeniopygia guttata	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	288
A0A674K5S7	VDAC1	Terrapene triunguis	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A6B0RMJ1	NA	Bos mutus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A6I8NWM5	VDAC1	Ornithorhynchus anatinus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	292
A0A6I9II27	VDAC1	Vicugna pacos	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A6J1VR69	VDAC1	Notechis scutatus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A6P3HJ22	VDAC1	Bison bison bison	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A6P7EFR0	VDAC1	Ovis aries	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane (PubMed:15254371). The channel at the outer mitochondrial membrane allows diffusion of small hydrophilic molecules; in the plasma membrane it is involved in cell volume regulation and apoptosis. It adopts an open conformation at low or zero membrane potential and a closed conformation at potentials above 30-40 mV. The open state has a weak anion selectivity whereas the closed state is cation-selective. Binds various signaling molecules, including the sphingolipid ceramide, the phospholipid phosphatidylcholine, and the sterols cholesterol and oxysterol. In depolarized mitochondria, acts downstream of PRKN and PINK1 to promote mitophagy or prevent apoptosis; polyubiquitination by PRKN promotes mitophagy, while monoubiquitination by PRKN decreases mitochondrial calcium influx which ultimately inhibits apoptosis. May participate in the formation of the permeability transition pore complex (PTPC) responsible for the release of mitochondrial products that triggers apoptosis. May mediate ATP export from cells (By similarity). Part of a complex composed of HSPA9, ITPR1 and VDAC1 that regulates mitochondrial calcium-dependent apoptosis by facilitating calcium transport from the ER lumen to the mitochondria intermembrane space thus providing calcium for the downstream calcium channel MCU that directly releases it into mitochondria matrix (By similarity)	Mitochondrion outer membrane	283
A0A8B9C266	VDAC1	Anser brachyrhynchus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A8B9W7F7	VDAC1	Bos mutus grunniens	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	297
A0A8C0GAI0	VDAC1	Chelonoidis abingdonii	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A8C0K936	VDAC1	Canis lupus dingo	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	252
A0A8C2SXK1	VDAC1	Coturnix japonica	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A8C3IPR3	VDAC1	Chrysemys picta bellii	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A8C3YBX1	VDAC1	Catagonus wagneri	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A8C4W6J3	VDAC1	Gopherus evgoodei	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A8C5SSU8	VDAC1	Laticauda laticaudata	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A8C5V2P5	VDAC1	Microcebus murinus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	316
A0A8C6FPJ2	VDAC1	Moschus moschiferus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A8C6GWI6	NA	Mus spicilegus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	296
A0A8C6WDI7	Vdac1	Nannospalax galili	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	295
A0A8C6X7V6	VDAC1	Naja naja	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	325
A0A8C8TI86	NA	Peromyscus maniculatus bairdii	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	297
A0A8C8WCC4	VDAC1	Panthera leo	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A8C9AEV3	VDAC1	Prolemur simus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A8C9B974	VDAC1	Phocoena sinus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A8C9JDT2	VDAC1	Panthera tigris altaica	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A8C9NA69	VDAC1	Serinus canaria	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	311
A0A8D0DWN8	NA	Salvator merianae	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	322
A0A8D0L773	VDAC1	Sphenodon punctatus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	313
A0A8D2DXE2	VDAC1	Sciurus vulgaris	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A8D2HRL3	VDAC1	Urocitellus parryii	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	289
A0A8I3W4L6	VDAC1	Callithrix jacchus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	331
A0A8I6AKF7	Vdac1	Rattus norvegicus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	302
A0A8N5EHT0	VDAC1	Geospiza fortis	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0A8V0Z0Y0	VDAC1	Gallus gallus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	301
A0A9L0J3T3	VDAC1	Equus asinus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	352
A0A9L0RQ54	VDAC1	Equus caballus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	352
A0A9Q1DW69	NA	Conger conger	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	460
A0A9V1EAL4	VDAC1	Panthera pardus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
A0AAD9DMD1	NA	Electrophorus voltai	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	490
C5DRQ1	MMM1	Zygosaccharomyces rouxii (strain ATCC 2623 / CBS 732 / NBRC 1130 / NCYC 568 / NRRL Y-229)	Component of the ERMES/MDM complex, which serves as a molecular tether to connect the endoplasmic reticulum (ER) and mitochondria. Components of this complex are involved in the control of mitochondrial shape and protein biogenesis, and function in nonvesicular lipid trafficking between the ER and mitochondria (By similarity). Preferentially binds to glycerophospholipids such as phosphatidylcholoine (PC), phosphatidic acid (PA), phosphatidylglycerol (PG), and phosphatidylserine (PS), but not to phosphatidylethanolamine (PE) (PubMed:29078410). The MDM12-MMM1 subcomplex functions in the major beta-barrel assembly pathway that is responsible for biogenesis of all outer membrane beta-barrel proteins, and acts in a late step after the SAM complex. The MDM10-MDM12-MMM1 subcomplex further acts in the TOM40-specific pathway after the action of the MDM12-MMM1 complex. Essential for establishing and maintaining the structure of mitochondria and maintenance of mtDNA nucleoids (By similarity)	Endoplasmic reticulum membrane	454
E1BYN7	VDAC1	Gallus gallus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
F6UN69	VDAC1	Monodelphis domestica	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	400
G1KB85	VDAC1	Anolis carolinensis	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	336
G1MHG2	VDAC1	Ailuropoda melanoleuca	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	373
G1PKL9	VDAC1	Myotis lucifugus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	294
G1R9B3	VDAC1	Nomascus leucogenys	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	282
G3H2C6	NA	Cricetulus griseus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	484
G3R5M5	NA	Gorilla gorilla gorilla	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	289
G3UG79	VDAC1	Loxodonta africana	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	287
G3WYY3	VDAC1	Sarcophilus harrisii	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	308
H0XLJ3	VDAC1	Otolemur garnettii	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	293
H9Z018	VDAC1	Macaca mulatta	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
I3MAD1	VDAC1	Ictidomys tridecemlineatus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	292
K7FBU3	VDAC1	Pelodiscus sinensis	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
L9JAG0	NA	Tupaia chinensis	Synthesizes sphingolipids through transfer of a phosphatidyl head group from a glycerophospholipid on to the primary hydroxyl of a ceramide in the lumen of the endoplasmic reticulum. Catalyzes the synthesis of ceramide phosphoethanolamines (CPEs) (such as N-acylsphing-4-enine 1-phosphoethanolamine) by transferring phosphoethanolamine head group, which is smaller and more hydrophilic than the phosphocholine (PC) headgroup transferred in the canonical sphingomyelin synthesis (SMS) reaction by SMS1 or SMS2, from a phosphatidylethanolamine (1,2-diacyl-sn-glycero-3-phosphoethanolamine, PE) to a ceramide (such as N-acylsphing-4-enine). The larger PC prevents an efficient fit in the enzyme's catalytic pocket, leading to little or no SMS activity. In vitro, in the absence of ceramide, it has PLC activity with preference for phosphatidylinositol and phosphatidic acid, but also hydrolyzes phosphatidylethanolamine	Membrane	2191
M3YFN8	VDAC1	Mustela putorius furo	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Cell membrane	283
O43181	NDUFS4	Homo sapiens	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Mitochondrion inner membrane	175
O64471	MTX1	Arabidopsis thaliana	Involved in transport of proteins into the mitochondrion	Mitochondrion inner membrane	315
O74700	TIM9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Mitochondrial intermembrane chaperone that participates in the import and insertion of multi-pass transmembrane proteins into the mitochondrial inner membrane. Also required for the transfer of beta-barrel precursors from the TOM complex to the sorting and assembly machinery (SAM complex) of the outer membrane. Acts as a chaperone-like protein that protects the hydrophobic precursors from aggregation and guide them through the mitochondrial intermembrane space. Compared to TIM10, it may have a strong structural role	Mitochondrion inner membrane	87
O94826	TOMM70	Homo sapiens	Acts as a receptor of the preprotein translocase complex of the outer mitochondrial membrane (TOM complex) (PubMed:12526792). Recognizes and mediates the translocation of mitochondrial preproteins from the cytosol into the mitochondria in a chaperone dependent manner (PubMed:12526792, PubMed:35025629). Mediates TBK1 and IRF3 activation induced by MAVS in response to Sendai virus infection and promotes host antiviral responses during virus infection (PubMed:20628368, PubMed:25609812, PubMed:32728199). Upon Sendai virus infection, recruits HSP90AA1:IRF3:BAX in mitochondrion and the complex induces apoptosis (PubMed:25609812)	Mitochondrion outer membrane	608
O96008	TOMM40	Homo sapiens	Channel-forming protein essential for import of protein precursors into mitochondria (PubMed:15644312, PubMed:31206022). Plays a role in the assembly of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) by forming a complex with BCAP31 and mediating the translocation of Complex I components from the cytosol to the mitochondria (PubMed:31206022)	Mitochondrion outer membrane	361
P04840	POR1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane (PubMed:9435273). The channel adopts an open conformation at low or zero membrane potential and a closed conformation at potentials above 30-40 mV (PubMed:9435273). The open state has a weak anion selectivity whereas the closed state is cation-selective (PubMed:9435273). Is the major permeability factor of the mitochondrial outer membrane (PubMed:9435273)	Mitochondrion outer membrane	283
P07213	TOM70	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Component of the TOM (translocase of outer membrane) receptor complex responsible for the recognition and translocation of cytosolically synthesized mitochondrial preproteins. Together with TOM20 and TOM22 functions as the transit peptide receptor at the surface of the mitochondrion outer membrane and facilitates the movement of preproteins into the TOM40 translocation pore	Mitochondrion outer membrane	617
P10415	BCL2	Homo sapiens	Suppresses apoptosis in a variety of cell systems including factor-dependent lymphohematopoietic and neural cells (PubMed:1508712, PubMed:8183370). Regulates cell death by controlling the mitochondrial membrane permeability (PubMed:11368354). Appears to function in a feedback loop system with caspases (PubMed:11368354). Inhibits caspase activity either by preventing the release of cytochrome c from the mitochondria and/or by binding to the apoptosis-activating factor (APAF-1) (PubMed:11368354). Also acts as an inhibitor of autophagy: interacts with BECN1 and AMBRA1 during non-starvation conditions and inhibits their autophagy function (PubMed:18570871, PubMed:20889974, PubMed:21358617). May attenuate inflammation by impairing NLRP1-inflammasome activation, hence CASP1 activation and IL1B release (PubMed:17418785)	Mitochondrion outer membrane	239
P18409	MDM10	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Component of the ERMES/MDM complex, which serves as a molecular tether to connect the endoplasmic reticulum and mitochondria. Components of this complex are involved in the control of mitochondrial shape and protein biogenesis and may function in phospholipid exchange. MDM10 is involved in the late assembly steps of the general translocase of the mitochondrial outer membrane (TOM complex). Functions in the TOM40-specific route of the assembly of outer membrane beta-barrel proteins, including the association of TOM40 with the receptor TOM22 and small TOM proteins. Can associate with the SAM(core) complex as well as the MDM12-MMM1 complex, both involved in late steps of the major beta-barrel assembly pathway, that is responsible for biogenesis of all outer membrane beta-barrel proteins. May act as a switch that shuttles between both complexes and channels precursor proteins into the TOM40-specific pathway. Plays a role in mitochondrial morphology and in the inheritance of mitochondria	Mitochondrion outer membrane	493
P21796	VDAC1	Homo sapiens	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane (PubMed:10661876, PubMed:11845315, PubMed:18755977, PubMed:30061676, PubMed:8420959). The channel at the outer mitochondrial membrane allows diffusion of small hydrophilic molecules; in the plasma membrane it is involved in cell volume regulation and apoptosis (PubMed:10661876, PubMed:11845315, PubMed:18755977, PubMed:8420959). It adopts an open conformation at low or zero membrane potential and a closed conformation at potentials above 30-40 mV (PubMed:10661876, PubMed:18755977, PubMed:8420959). The open state has a weak anion selectivity whereas the closed state is cation-selective (PubMed:18755977, PubMed:8420959). Binds various signaling molecules, including the sphingolipid ceramide, the phospholipid phosphatidylcholine, and the sterols cholesterol and oxysterol (PubMed:18755977, PubMed:31015432). In depolarized mitochondria, acts downstream of PRKN and PINK1 to promote mitophagy or prevent apoptosis; polyubiquitination by PRKN promotes mitophagy, while monoubiquitination by PRKN decreases mitochondrial calcium influx which ultimately inhibits apoptosis (PubMed:32047033). May participate in the formation of the permeability transition pore complex (PTPC) responsible for the release of mitochondrial products that triggers apoptosis (PubMed:15033708, PubMed:25296756). May mediate ATP export from cells (PubMed:30061676). Part of a complex composed of HSPA9, ITPR1 and VDAC1 that regulates mitochondrial calcium-dependent apoptosis by facilitating calcium transport from the ER lumen to the mitochondria intermembrane space thus providing calcium for the downstream calcium channel MCU that directly releases it into mitochondria matrix (By similarity). Mediates cytochrome c efflux (PubMed:20230784)	Mitochondrion outer membrane	283
P23644	TOM40	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Channel-forming protein essential for import of protein precursors into mitochondria	Mitochondrion outer membrane	387
P33448	TOM6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Component of the TOM (translocase of outer membrane) receptor complex responsible for the recognition and translocation of cytosolically synthesized mitochondrial preproteins. TOM6 is involved in assembly and stability of the TOM complex	Mitochondrion outer membrane	61
P35180	TOM20	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Central component of the TOM (translocase of outer membrane) receptor complex responsible for the recognition and translocation of cytosolically synthesized mitochondrial preproteins. Together with TOM22 functions as the transit peptide receptor at the surface of the mitochondrion outer membrane and facilitates the movement of preproteins into the TOM40 translocation pore	Mitochondrion outer membrane	183
P36010	YNK1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate (PubMed:5793714). Required for repair of UV radiation- and etoposide-induced DNA damage (PubMed:18983998)	Cytoplasm	153
